# Deg[°]         Angle[C ,C ,C ]
     0.500        0.0000000000
     1.500        0.0000000000
     2.500        0.0000000000
     3.500        0.0000000000
     4.500        0.0000000000
     5.500        0.0000000000
     6.500        0.0000000000
     7.500        0.0000000000
     8.500        0.0000000000
     9.500        0.0000000000
    10.500        0.0000000000
    11.500        0.0000000000
    12.500        0.0000000000
    13.500        0.0000000000
    14.500        0.0000000000
    15.500        0.0000000000
    16.500        0.0000000000
    17.500        0.0000000000
    18.500        0.0000000000
    19.500        0.0000000000
    20.500        0.0000000000
    21.500        0.0000000000
    22.500        0.0000000000
    23.500        0.0000000000
    24.500        0.0000000000
    25.500        0.0000000000
    26.500        0.0000000000
    27.500        0.0000000000
    28.500        0.0000000000
    29.500        0.0000000000
    30.500        0.0000000000
    31.500        0.0000000000
    32.500        0.0000000000
    33.500        0.0000000000
    34.500        0.0000000000
    35.500        0.0000000000
    36.500        0.0000000000
    37.500        0.0000000000
    38.500        0.0000000000
    39.500        0.0000000000
    40.500        0.0000000000
    41.500        0.0000000000
    42.500        0.0031161385
    43.500        0.0000000000
    44.500        0.0062322770
    45.500        0.0093484154
    46.500        0.0124645539
    47.500        0.0124645539
    48.500        0.0093484154
    49.500        0.0031161385
    50.500        0.0186968309
    51.500        0.0218129694
    52.500        0.0186968309
    53.500        0.0311613848
    54.500        0.0186968309
    55.500        0.0249291078
    56.500        0.0155806924
    57.500        0.0249291078
    58.500        0.0062322770
    59.500        0.0280452463
    60.500        0.0218129694
    61.500        0.0155806924
    62.500        0.0342775233
    63.500        0.0093484154
    64.500        0.0124645539
    65.500        0.0031161385
    66.500        0.0093484154
    67.500        0.0186968309
    68.500        0.0124645539
    69.500        0.0062322770
    70.500        0.0093484154
    71.500        0.0249291078
    72.500        0.0062322770
    73.500        0.0249291078
    74.500        0.0249291078
    75.500        0.0280452463
    76.500        0.0093484154
    77.500        0.0124645539
    78.500        0.0218129694
    79.500        0.0280452463
    80.500        0.0249291078
    81.500        0.0124645539
    82.500        0.0280452463
    83.500        0.0405098003
    84.500        0.0623227696
    85.500        0.0623227696
    86.500        0.1152971238
    87.500        0.0779034620
    88.500        0.1277616777
    89.500        0.2118974167
    90.500        0.2087812782
    91.500        0.2711040479
    92.500        0.3521236484
    93.500        0.4237948334
    94.500        0.4424916643
    95.500        0.5702533421
    96.500        0.6325761117
    97.500        0.7696862049
    98.500        0.9130285750
    99.500        1.1342744072
   100.500        1.2184101461
   101.500        1.4271914244
   102.500        1.5643015176
   103.500        1.7076438877
   104.500        1.8634508118
   105.500        2.0410707052
   106.500        2.3931943536
   107.500        2.5832788009
   108.500        2.7795955252
   109.500        2.9790283880
   110.500        2.9883768035
   111.500        3.2532485744
   112.500        3.3654295597
   113.500        3.5586301455
   114.500        3.5835592534
   115.500        3.7611791468
   116.500        3.6645788539
   117.500        3.7113209311
   118.500        3.6521143000
   119.500        3.6053722227
   120.500        3.5181203453
   121.500        3.2875260977
   122.500        3.2812938207
   123.500        2.8294537409
   124.500        2.8793119566
   125.500        2.4617494001
   126.500        2.4181234614
   127.500        2.2218067371
   128.500        2.0067931819
   129.500        1.7263407186
   130.500        1.4490043938
   131.500        1.3305911315
   132.500        1.0906484684
   133.500        1.1249259917
   134.500        0.7914991742
   135.500        0.7198279892
   136.500        0.6886666043
   137.500        0.5577887881
   138.500        0.4611884952
   139.500        0.4393755258
   140.500        0.3396590945
   141.500        0.2274781091
   142.500        0.2617556324
   143.500        0.1713876165
   144.500        0.1558069241
   145.500        0.1090648468
   146.500        0.1215294008
   147.500        0.0810196005
   148.500        0.0903680160
   149.500        0.0592066311
   150.500        0.0592066311
   151.500        0.0373936618
   152.500        0.0467420772
   153.500        0.0405098003
   154.500        0.0311613848
   155.500        0.0124645539
   156.500        0.0155806924
   157.500        0.0155806924
   158.500        0.0093484154
   159.500        0.0062322770
   160.500        0.0093484154
   161.500        0.0031161385
   162.500        0.0093484154
   163.500        0.0031161385
   164.500        0.0062322770
   165.500        0.0000000000
   166.500        0.0031161385
   167.500        0.0031161385
   168.500        0.0000000000
   169.500        0.0000000000
   170.500        0.0000000000
   171.500        0.0000000000
   172.500        0.0062322770
   173.500        0.0000000000
   174.500        0.0000000000
   175.500        0.0000000000
   176.500        0.0000000000
   177.500        0.0000000000
   178.500        0.0000000000
   179.500        0.0000000000
