#Size      Number      Rc           Rn         Rn/NTLT    Irr-Num      Irr-Rc      Irr-Rn      Irr-Rn/NTLT

Step    1
Total number of rings: 1703.

 3.0         8         0.001         0         0.000         0         0.001         0         0.000
 4.0         1         0.000         0         0.000         0         0.000         0         0.000
 5.0       238         0.024         0         0.000         0         0.024         0         0.000
 6.0      1001         0.100         0         0.000         0         0.100         0         0.000
 7.0       255         0.025         0         0.000         0         0.025         0         0.000
 8.0        62         0.006         0         0.000         0         0.006         0         0.000
 9.0        39         0.004         0         0.000         0         0.004         0         0.000
10.0        41         0.004         0         0.000         0         0.004         0         0.000
11.0        58         0.006         0         0.000         0         0.006         0         0.000
12.0         0         0.000         0         0.000         0         0.000         0         0.000
