# Deg[°]         Angle[C ,C ,C ]
     0.500        0.0000000000
     1.500        0.0000000000
     2.500        0.0000000000
     3.500        0.0000000000
     4.500        0.0000000000
     5.500        0.0000000000
     6.500        0.0000000000
     7.500        0.0000000000
     8.500        0.0000000000
     9.500        0.0000000000
    10.500        0.0000000000
    11.500        0.0000000000
    12.500        0.0000000000
    13.500        0.0000000000
    14.500        0.0000000000
    15.500        0.0000000000
    16.500        0.0000000000
    17.500        0.0000000000
    18.500        0.0000000000
    19.500        0.0000000000
    20.500        0.0000000000
    21.500        0.0000000000
    22.500        0.0000000000
    23.500        0.0000000000
    24.500        0.0000000000
    25.500        0.0000000000
    26.500        0.0000000000
    27.500        0.0000000000
    28.500        0.0000000000
    29.500        0.0000000000
    30.500        0.0000000000
    31.500        0.0000000000
    32.500        0.0000000000
    33.500        0.0000000000
    34.500        0.0000000000
    35.500        0.0000000000
    36.500        0.0000000000
    37.500        0.0000000000
    38.500        0.0000000000
    39.500        0.0000000000
    40.500        0.0000000000
    41.500        0.0000000000
    42.500        0.0000000000
    43.500        0.0000000000
    44.500        0.0000000000
    45.500        0.0000000000
    46.500        0.0063985667
    47.500        0.0063985667
    48.500        0.0063985667
    49.500        0.0159964168
    50.500        0.0063985667
    51.500        0.0063985667
    52.500        0.0031992834
    53.500        0.0000000000
    54.500        0.0031992834
    55.500        0.0159964168
    56.500        0.0063985667
    57.500        0.0127971334
    58.500        0.0031992834
    59.500        0.0000000000
    60.500        0.0031992834
    61.500        0.0095978501
    62.500        0.0127971334
    63.500        0.0000000000
    64.500        0.0095978501
    65.500        0.0000000000
    66.500        0.0000000000
    67.500        0.0063985667
    68.500        0.0000000000
    69.500        0.0031992834
    70.500        0.0159964168
    71.500        0.0063985667
    72.500        0.0031992834
    73.500        0.0031992834
    74.500        0.0095978501
    75.500        0.0095978501
    76.500        0.0031992834
    77.500        0.0127971334
    78.500        0.0095978501
    79.500        0.0095978501
    80.500        0.0255942669
    81.500        0.0511885338
    82.500        0.0255942669
    83.500        0.0447899670
    84.500        0.0639856672
    85.500        0.0511885338
    86.500        0.0639856672
    87.500        0.0863806507
    88.500        0.1023770675
    89.500        0.1119749176
    90.500        0.1503663179
    91.500        0.2239498352
    92.500        0.2559426688
    93.500        0.3039319193
    94.500        0.4351025370
    95.500        0.4510989538
    96.500        0.5918674217
    97.500        0.6558530889
    98.500        0.8094186902
    99.500        0.9213936078
   100.500        0.9949771251
   101.500        1.3788911284
   102.500        1.3724925617
   103.500        1.6188373804
   104.500        1.8107943821
   105.500        2.0251463672
   106.500        2.3226797197
   107.500        2.5530281217
   108.500        2.7385865566
   109.500        2.7833765237
   110.500        3.3016604281
   111.500        3.4072367790
   112.500        3.6663787312
   113.500        3.6439837476
   114.500        3.8135457657
   115.500        4.0758870013
   116.500        4.1174776850
   117.500        3.9607128003
   118.500        3.9639120837
   119.500        3.8103464824
   120.500        3.6823751480
   121.500        3.7687557987
   122.500        3.3848417954
   123.500        3.0521163259
   124.500        2.8889528746
   125.500        2.4986403046
   126.500        2.2650926193
   127.500        2.1467191349
   128.500        1.7883993985
   129.500        1.6636273475
   130.500        1.3468982948
   131.500        1.3245033113
   132.500        1.1197491762
   133.500        0.9501871581
   134.500        0.7582301564
   135.500        0.6750487891
   136.500        0.6110631219
   137.500        0.5342803212
   138.500        0.4255046870
   139.500        0.4159068369
   140.500        0.2463448188
   141.500        0.2367469687
   142.500        0.2047541351
   143.500        0.2111527018
   144.500        0.1503663179
   145.500        0.1407684679
   146.500        0.1119749176
   147.500        0.0799820840
   148.500        0.0607863839
   149.500        0.0543878171
   150.500        0.0415906837
   151.500        0.0255942669
   152.500        0.0255942669
   153.500        0.0287935502
   154.500        0.0191957002
   155.500        0.0127971334
   156.500        0.0031992834
   157.500        0.0095978501
   158.500        0.0063985667
   159.500        0.0031992834
   160.500        0.0000000000
   161.500        0.0000000000
   162.500        0.0063985667
   163.500        0.0031992834
   164.500        0.0000000000
   165.500        0.0000000000
   166.500        0.0000000000
   167.500        0.0063985667
   168.500        0.0031992834
   169.500        0.0000000000
   170.500        0.0000000000
   171.500        0.0000000000
   172.500        0.0000000000
   173.500        0.0000000000
   174.500        0.0000000000
   175.500        0.0000000000
   176.500        0.0000000000
   177.500        0.0000000000
   178.500        0.0000000000
   179.500        0.0000000000
